Etunimi;Lukumäärä
A;25
A.;24
Aabel;95
Aabraham;72
Aabram;18
Aabrami;9
Aadam;90
Aadan;17
Aadel;14
Aaden;6
Aadi;15
Aadiel;23
Aadil;6
Aadolf;417
Aage;21
Aahil;7
Aake;411
Aakke;5
Aaku;48
Aakusti;5
Aale;191
Aali;7
Aallos;5
Aalto;79
Aamer;6
Aamir;7
Aamo;7
Aamon;7
Aamos;980
Aamunvalo;9
Äänis;25
Aanon;7
Aapa;11
Aape;23
Aapel;12
Aapeli;2323
Aapi;61
Aapo;6453
Aapo-Eemeli;5
Aapo-Matti;11
Aaponpoika;12
Aappi;11
Aappo;385
Aapraham;30
Aapram;21
Aaprami;145
Aapro;36
Aarav;10
Aare;60
Aares;8
Aaret;38
Aaretti;216
Aari;61
Aario;5
Aariz;5
Aarne;8858
Aarnenpoika;18
Aarni;2893
Aarnio;9
Aarno;2694
Aarnonpoika;6
Aaro;7706
Aaro-Matti;8
Aaron;6703
Aarón;7
Aaroni;36
Aaronpoika;19
Aarre;5386
Aarretti;15
Aarto;321
Aarush;6
Aatami;448
Aate;339
Aati;243
Aato;23
Aatos;8070
Aatovi;5
Aatte;7
Aatto;893
Aattu;5
Aatu;5213
Aatu-Eemeli;9
Aatu-Oskari;6
Aavo;13
Aayan;8
Aayush;5
Abaas;12
Abakar;5
Abas;20
Abayomi;7
Abbas;186
Abbe;33
Abbood;7
Abd;52
Abdala;6
Abdalla;52
Abdallah;78
Abdalle;5
Abdel;80
Abdelali;5
Abdelatif;5
Abdelaziz;33
Abdelfattah;6
Abdelghani;11
Abdelhafid;6
Abdelhak;6
Abdelhakim;7
Abdelhamid;18
Abdelilah;5
Abdeljalil;7
Abdelkader;18
Abdelkarim;20
Abdelkrim;9
Abdellah;28
Abdellatif;17
Abdelmajid;13
Abdelmalek;9
Abdelrahman;20
Abder;5
Abderahman;6
Abderrahim;15
Abderrahman;11
Abderrahmane;22
Abderrazak;5
Abdeslam;5
Abdi;622
Abdiasis;42
Abdiaziiz;5
Abdiaziz;63
Abdifatah;114
Abdifitaah;7
Abdifitah;11
Abdigadir;6
Abdigani;9
Abdihafid;5
Abdihakiim;8
Abdihakim;33
Abdihakin;15
Abdihamid;17
Abdijabar;6
Abdijibaar;5
Abdikaafi;5
Abdikadar;7
Abdikadir;45
Abdikafi;12
Abdikani;14
Abdikariim;10
Abdikarim;55
Abdikarin;27
Abdilaahi;6
Abdiladif;12
Abdilahi;13
Abdillahi;27
Abdimaalik;8
Abdimalik;35
Abdinasir;71
Abdinur;11
Abdiqaadir;10
Abdiqadar;7
Abdiqadir;5
Abdiqafar;5
Abdiqani;35
Abdirahiim;5
Abdirahim;45
Abdirahmaan;23
Abdirahman;525
Abdi-Rahman;5
Abdirashid;81
Abdirashiid;10
Abdirazak;16
Abdirisaaq;14
Abdirisak;61
Abdirisaq;40
Abdirizak;80
Abdirizaq;11
Abdisalaan;6
Abdisalam;40
Abdisalan;13
Abdisamad;14
Abdisamed;9
Abdishakur;24
Abdishakuur;9
Abdiwahaab;10
Abdiwahab;18
Abdiwahid;13
Abdiwali;28
Abdiweli;21
Abdo;6
Abdollah;6
Abdou;14
Abdoul;5
Abdoulaye;10
Abdoulie;14
Abdu;8
Abdukadir;22
Abdul;219
Abdula;6
Abdulaahi;22
Abdulahi;66
Abdulazeez;12
Abdulaziz;27
Abdulfatah;10
Abdulgaadir;6
Abdulgadir;18
Abdulghani;5
Abdulhadi;8
Abdulhakim;10
Abdulhamid;8
Abdulhussain;8
Abdul-Hussain;6
Abdulhussein;5
Abduljabbar;7
Abdulkader;7
Abdulkadir;239
Abdulkareem;20
Abdulkarim;23
Abdulkhaliq;5
Abdulla;46
Abdullaahi;22
Abdullah;280
Abdullahi;570
Abdullatif;5
Abdul-Latif;8
Abdulle;26
Abdulmajid;6
Abdulmalik;11
Abdul-Malik;8
Abdulqader;9
Abdulqadir;38
Abdulrahim;8
Abdulrahman;65
Abdulrazzaq;11
Abdulridha;6
Abdulwahab;10
Abdulwahid;11
Abduqadir;7
Abdur;5
Abdurahim;8
Abdurahman;32
Abdurrahim;8
Abdurrahman;31
Abed;44
Abedin;11
Abel;248
Abhinav;5
Abhishek;5
Abid;14
Abiel;85
Abiodun;18
Abiola;6
Abir;6
Abner;34
Abolfazl;9
Abou;7
Abraham;358
Abram;87
Abrami;5
Abrar;9
Abshir;50
Abu;35
Abubacarr;5
Abubakar;40
Abubaker;5
Abubakr;10
Abukar;76
Abul;10
Abuukar;9
Ace;7
Achille;11
Achilles;14
Achim;5
Achraf;8
Acke;7
Adalbert;13
Adam;1800
Ádám;6
Adama;10
Adan;63
Adar;14
Ade;13
Adebayo;10
Adedamola;5
Adedayo;5
Adedeji;5
Adeel;5
Adekunle;15
Adel;85
Adem;56
Ademola;9
Aden;117
Adeola;11
Adewale;13
Adeyemi;9
Adeyinka;6
Adham;11
Adi;40
Adib;6
Adiel;298
Adil;100
Adin;6
Adis;11
Adison;5
Aditya;14
Adjei;7
Admir;8
Adnaan;17
Adnan;146
Adnane;7
Ado;5
Adolf;988
Adolfo;16
Adolphe;5
Adom;7
Adonis;14
Adriaan;11
Adrian;1182
Adrián;16
Adriano;31
Adrianus;7
Adriatik;6
Adriel;16
Adrien;27
Adu;5
Adyan;7
Aedan;6
Aeon;5
Affan;7
Afonso;11
Afrim;23
Afshin;11
Aftab;5
Agane;5
Agapetus;7
Agathon;17
Agaton;8
Age;11
Åge;5
Ager;7
Agha;5
Agim;21
Agit;5
Agnar;7
Agner;7
Agon;13
Agostino;16
Agron;15
Agust;7
Agustin;16
Ahad;13
Aharon;6
Ahdinpoika;7
Ahma;9
Ahmad;440
Ahmed;1767
Ahmedey;5
Ahmednur;9
Ahmed-Nur;11
Ahmet;89
Ahsan;8
Ahti;5465
Ahtinpoika;7
Ahto;190
Ahvo;42
Aidan;82
Aiden;63
Aidin;7
Áigin;5
Aihe;10
Ailo;59
Ailu;35
Áilu;12
Aiman;37
Aimé;8
Aimo;6044
Aimonpoika;10
Ain;5
Aino;5
Aito;112
Aitor;9
Aivar;22
Aivo;6
Ajan;22
Ajay;6
Ajdin;10
Ajibola;6
Ajmal;11
Akam;18
Akar;6
Akash;9
Akatius;10
Akbar;28
Ake;40
Åke;1620
Akeem;7
Åkesson;13
Aki;8825
Akif;22
Aki-Juhani;7
Aki-Jussi;14
Akil;17
Akilles;121
Akim;23
Aki-Markus;6
Aki-Matti;42
Akin;11
Akinpoika;57
Akio;7
Akipekka;6
Aki-Pekka;56
Aki-Petri;14
Aki-Petteri;103
Akira;35
Akito;8
Aki-Ville;8
Akke;16
Akmeeli;6
Ako;35
Akol;6
Ákos;9
Akram;98
Aksel;988
Akseli;11764
Akselinpoika;12
Aksu;137
Aku;3232
Aku-Joonas;5
Aku-Kalle;5
Aku-Kimmo;6
Aku-Matias;7
Aku-Matti;23
Akunpoika;10
Aku-Oskari;6
Aku-Pekka;40
Aku-Petteri;43
Aku-Santeri;5
Akusti;434
Aku-Ville;15
Akwasi;8
Al;44
Alaa;42
Aladar;6
Aladin;7
Alain;68
Alam;12
Alan;291
Aland;8
Alar;9
Alari;39
Alaric;14
Alarik;2125
Alas;9
Alasdair;7
Alastair;5
Alawi;12
Alban;38
Albanus;13
Albert;5156
Albertino;5
Alberto;205
Albertti;46
Albertto;8
Albertus;6
Albi;5
Albiin;5
Albiinus;11
Albin;1474
Albinus;73
Albion;26
Albrecht;10
Albus;11
Alcides;5
Alden;11
Aldin;31
Aldo;35
Aldur;17
Ale;106
Alec;296
Alef;14
Alejandro;162
Alek;76
Aleko;7
Aleks;260
Aleksa;6
Aleksandar;33
Aleksander;3160
Aleksanderi;5
Aleksandr;567
Aleksandre;7
Aleksandros;21
Aleksandrovich;8
Aleksandrovits;5
Aleksandrs;5
Aleksanter;14
Aleksanteri;13070
Aleksei;665
Alekseij;9
Aleksej;33
Aleksey;16
Aleksi;40241
Aleksi-Matias;6
Aleksinpoika;28
Aleksios;5
Aleksis;1818
Aleksius;68
Alem;10
Alen;27
Ales;23
Alessandro;175
Alessio;51
Alex;5862
Alexander;14358
Alexandr;95
Alexandre;335
Alexandro;27
Alexandros;114
Alexandrovich;6
Alexandru;40
Alexanteri;52
Alexei;206
Alexej;41
Alexey;189
Alexi;305
Alexinpoika;5
Alexios;10
Alexis;355
Alexius;29
Alexsander;79
Alexsanteri;14
Alex-Santeri;6
Alf;1167
Alfa;12
Alf-Erik;21
Alfie;15
Alf-Johan;7
Alfons;761
Alfonso;45
Alf-Peter;5
Alfred;2871
Alfredo;42
Alfret;5
Algot;202
Algoth;5
Alhassan;5
Alho;33
Ali;2785
Aliaksandr;6
Alias;8
Alieu;16
Alim;10
Alin;11
Alinpoika;6
Alioune;6
Alireza;33
Alistair;18
Alix;7
Alje;11
Alkarim;7
Alku;8
Alla;8
Allah;8
Allal;5
Allan;10455
Alland;5
Allani;60
Allanti;6
Allari;17
Allen;53
Allu;44
Almar;15
Almari;5
Almer;18
Almin;6
Almir;23
Almo;5
Almos;5
Alo;7
Alois;18
Alon;16
Alonso;25
Alonzo;17
Aloysius;6
Alp;14
Alparslan;6
Alper;31
Alperen;5
Alpert;18
Alpertti;155
Alpha;18
Alphonse;5
Alpi;205
Alpiin;27
Alpin;12
Alpo;4698
Alponpoika;7
Alrik;18
Altair;5
Altan;6
Altin;12
Altis;6
Altti;1053
Alva;7
Alvar;5046
Alvari;1352
Alvaro;52
Álvaro;8
Alve;39
Alvi;236
Alvian;18
Alvin;487
Alwan;17
Alwar;26
Alwari;7
Alwin;33
Aly;14
Amaar;9
Amadeo;13
Amadeus;297
Amado;5
Amadou;26
Amadu;6
Aman;27
Amandeep;7
Amandus;22
Amani;15
Amanj;9
Amanuel;13
Amanullah;6
Amar;84
Amare;5
Amarjit;7
Amaru;17
Amatius;5
Amatus;9
Ambjörn;5
Ambrosius;21
Amed;8
Amedeo;8
Ameen;13
Ameer;16
Amel;13
Amen;6
Amer;47
Ami;247
Amiel;16
Amiin;36
Amiir;22
Amil;5
Amin;322
Amine;41
Amir;469
Ämir;5
Amit;24
Amjad;29
Ammaar;5
Ammar;63
Amon;28
Amor;22
Amos;847
Amr;19
Amrik;5
Amrit;7
Amro;12
An;51
Ana;11
Anakin;22
Anand;14
Ananda;15
Ananias;100
Anar;6
Anas;209
Änäs;5
Anass;7
Anastasios;13
Anatol;10
Anatole;13
Anatoli;142
Anatolii;14
Anatolij;12
Anatoly;26
Andaras;11
Ándaras;8
Ande;5
Ánde;9
