Sukunimi;Yhteensä
Aadan;34
Aakala;61
Aakko;216
Aakkula;65
Aakula;158
Aali;57
Aalinniemi;20
Aallonen;31
Aallonranta;23
Aallos;29
Aalo;27
Aaltio;199
Aalto;8515
Aaltojärvi;51
Aaltokoski;78
Aaltola;216
Aaltomaa;52
Aaltonen;9663
Aalto-Setälä;115
Aaltovirta;36
Aamurusko;21
Aamuvuori;45
Äänismaa;30
Aapa;21
Aapajärvi;78
Aapakari;21
Ääpälä;59
Aapalahti;38
Aapio;57
Aapola;37
Aappola;34
Aapro;273
Äärelä;132
Aareskoski;24
Ääri;127
Aarikka;119
Äärilä;80
Äärimaa;23
Aarinen;33
Äärinen;48
Aario;22
Ääritalo;41
Aarne;51
Aarni;115
Aarniala;21
Aarnikoivu;61
Aarninsalo;23
Aarnio;2064
Aarniovuori;37
Aarnipuro;42
Aarnisalo;57
Aarnivala;22
Aarnivirta;32
Aarnivuo;25
Aarnos;35
Aarras;28
Aarrekangas;42
Aarrekorpi;37
Aarrelampi;22
Aarresuo;37
Aarrevaara;23
Aarrevuo;22
Aarto;56
Aartola;29
Aartolahti;103
Äärynen;25
Aas;23
Aatamila;37
Aatola;109
Aatsinki;208
Aava;30
Aavaharju;33
Aavajoki;23
Aavamäki;20
Aavanen;25
Aavikko;130
Åback;38
Åbacka;79
Abazi;51
Abbas;67
Abbasi;38
Abbors;23
Abdalla;52
Abdallah;34
Abdi;606
Abdi Ahmed;23
Abdikarim;24
Abdillahi;40
Abdirahman;85
Abdul;22
Abdulahi;29
Abdulkadir;74
Abdulla;50
Abdullah;162
Abdullahi;236
Abdulle;106
Abdulrahim;21
Åberg;1099
Abid;23
Åbonde;67
Abraham;29
Abrahamsson;252
Åbrandt;20
Abshir;26
Abukar;85
Åby;46
Acar;53
Achren;22
Achrén;182
Ackalin;22
Ackman;25
Ackrén;23
Ådahl;90
Adam;142
Adams;73
Adamsson;118
Adan;87
Adel;42
Ademi;87
Aden;235
Adenius;21
Adhikari;45
Ådjers;28
Adler;140
Adlercreutz;28
Adolfsen;24
Adolfsson;119
Adow;26
Aejmelaeus;42
Aerikkala;54
Aerila;23
af Björksten;21
af Forselles;22
af Hällström;133
af Heurlin;36
af Ursin;46
Åfelt;46
Afflekt;32
Aflecht;75
Afshar;21
Afzali;21
Agge;89
Ågren;321
Ågrén;36
Ahanen;29
Ahava;198
Ahde;221
Ahdesalo;24
Ahdesmäki;24
Aherto;48
Ahinko;49
Ahjokivi;27
Ahjolinna;39
Ahjoniemi;90
Ahjopalo;22
Ahjosaari;21
Ähkynen;21
Ahl;119
Åhl;28
Ahlamaa;27
Ahläng;22
Ahlbäck;174
Ahlberg;480
Åhlberg;47
Ahlblad;106
Ahlbom;144
Ahlers;20
Ahlfors;744
Åhlfors;35
Ahlgren;1105
Ahlgrén;127
Åhlgren;79
Ahlholm;302
Ahlkvist;30
Ahllund;25
Ahlman;157
Åhlman;36
Ahlmark;43
Ahlnäs;88
Ahlö;81
Ahlqvist;859
Ahlroos;274
Ahlroth;300
Ahlskog;454
Ahlstedt;350
Ahlsten;181
Ahlstén;29
Ahlstrand;108
Ahlström;419
Åhlström;43
Ahlsved;130
Ahlvik;275
Ahlvik-Fors;20
Ahmad;228
Ahmadi;292
Ahmajärvi;24
Ahmala;53
Åhman;335
Ahmaoja;83
Ahmavuo;27
Ahmed;1231
Ahmed Mohamed;23
Ahmed Osman;21
Ahmeti;59
Ahnger;39
Aho;7239
Ahokainen;168
Ahokangas;125
Ahokannas;24
Ahokanto;48
Ahokas;2366
Ahokivi;20
Ahola;7542
Aholaakko;52
Aholainen;359
Aholaita;24
Ahola-Olli;22
Aholin;40
Ahomaa;70
Ahomäki;156
Aho-Mantila;58
Ahonala;38
Ahonen;10789
Ahoniemi;232
Ahonkivi;42
Ahonniska;21
Ahonpää;86
Ahonvala;33
Ahopalo;38
Ahopelto;584
Aho-Pynttäri;25
Ahoranta;120
Ahorinta;43
Ahosilta;34
Ahosmäki;52
Ahosola;100
Ahotupa;37
Ahovaara;53
Ahovalli;37
Ahponen;199
Ahrenberg;58
Ahrens;22
Ahrikkala;22
Ahsan;20
Ahtaanluoma;27
Ahtee;65
Ahteela;30
Ahtela;59
Ahti;459
Ahtiainen;1559
Ahtiala;59
Ahtialansaari;35
Ahtikari;65
Ahtila;92
Ahtimaa;28
